Store Link,Address,Formatted Address,Place ID,Street Number,Route,City (Locality),Administrative Area Level 3,Administrative Area Level 2,Administrative Area Level 1,Country,Country Code,Postal Code,Latitude,Longitude,Shop ID
https://www.conad.it/ricerca-negozi/conad-city-viale-dei-mille-9-c-50131-firenze--005377,conad city viale dei mille 9 c 50131 firenze  005377,"Viale dei Mille, 9/C, 50131 Firenze FI, Italy",ChIJERsJvmtUKhMRx_XRxApOJgM,9/C,Viale dei Mille,Firenze,Firenze,Città Metropolitana di Firenze,Toscana,Italy,IT,50131.0,43.780683,11.278965,67cf0ee274b04f610c63d39b
https://www.conad.it/ricerca-negozi/conad-city-via-pietrapiana-42-50121-firenze--008635,conad city via pietrapiana 42 50121 firenze  008635,"Via Pietrapiana, 42, 50121 Firenze FI, Italy",ChIJPRlpBAZUKhMRzhP-UuHNcEQ,42,Via Pietrapiana,Firenze,Firenze,Città Metropolitana di Firenze,Toscana,Italy,IT,50121.0,43.771165,11.2632884,67cf0ee274b04f610c63d3a0
https://www.conad.it/ricerca-negozi/sapori-dintorni-conad-via-de-bardi-45-47-50125-firenze--008203,sapori dintorni conad via de bardi 45 47 50125 firenze  008203,"Via de' Bardi, 45/47, 50125 Firenze FI, Italy",ChIJnfYq7v9TKhMRWXSnnj2gvdk,45,Via de' Bardi,Firenze,Firenze,Città Metropolitana di Firenze,Toscana,Italy,IT,50125.0,43.767232,11.253275,67cf0ee374b04f610c63d3a5
https://www.conad.it/ricerca-negozi/sapori-dintorni-conad-borgo-san-lorenzo-15-17-50123-firenze--008920,sapori dintorni conad borgo san lorenzo 15 17 50123 firenze  008920,"Borgo S. Lorenzo, 15/17, 50123 Firenze FI, Italy",ChIJEciBNwJUKhMRd2jclksddmU,15,Borgo San Lorenzo,Firenze,Firenze,Città Metropolitana di Firenze,Toscana,Italy,IT,50123.0,43.77387179999999,11.2546281,67cf0ee374b04f610c63d3aa
https://www.conad.it/ricerca-negozi/conad-city-via-giacomo-zanella-snc-50124-firenze--010067,conad city via giacomo zanella snc 50124 firenze  010067,"Via Giacomo Zanella, snc, 50124 Firenze FI, Italy",ChIJsxcWBVpXKhMRfb2whW6-at8,snc,Via Giacomo Zanella,Firenze,Firenze,Città Metropolitana di Firenze,Toscana,Italy,IT,50124.0,43.770548,11.238339,67cf0ee474b04f610c63d3af
https://www.conad.it/ricerca-negozi/conad-city-via-circondaria-58-60-50127-firenze--010419,conad city via circondaria 58 60 50127 firenze  010419,"Via Circondaria, 58/60, 50127 Firenze FI, Italy",ChIJq3EiM5ZWKhMRNALvuV6eDK8,58/60,Via Circondaria,Firenze,Firenze,Città Metropolitana di Firenze,Toscana,Italy,IT,50127.0,43.7891495,11.2377476,67cf0ee574b04f610c63d3b4
https://www.conad.it/ricerca-negozi/conad-piazza-dalmazia-12-14-50141-firenze--008636,conad piazza dalmazia 12 14 50141 firenze  008636,"Piazza Dalmazia, 12/14, 50127 Firenze FI, Italy",Ei9QaWF6emEgRGFsbWF6aWEsIDEyLzE0LCA1MDEyNyBGaXJlbnplIEZJLCBJdGFseSIeGhwKFgoUChIJDUczbZBWKhMRtDRzAg-77eMSAjE0,12,Piazza Dalmazia,Firenze,Firenze,Città Metropolitana di Firenze,Toscana,Italy,IT,50127.0,43.7962297,11.2398382,67cf0ee574b04f610c63d3b9
https://www.conad.it/ricerca-negozi/conad-city-via-dellolivuzzo-101-r-50143-firenze--006325,conad city via dellolivuzzo 101 r 50143 firenze  006325,"Via dell'Olivuzzo, 101, 50143 Firenze FI, Italy",ChIJd2lzDTJRKhMRhAHgAUmYU00,101,Via dell'Olivuzzo,Firenze,Firenze,Città Metropolitana di Firenze,Toscana,Italy,IT,50143.0,43.7675642,11.2190033,67cf0ee674b04f610c63d3be
https://www.conad.it/ricerca-negozi/conad-city-via-luigi-michelazzi-4-50141-firenze--003393,conad city via luigi michelazzi 4 50141 firenze  003393,"Via Luigi Michelazzi, 4, 50141 Firenze FI, Italy",ChIJeesomohWKhMR7S1vzliqd9E,4,Via Luigi Michelazzi,Firenze,Firenze,Città Metropolitana di Firenze,Toscana,Italy,IT,50141.0,43.803798,11.240203,67cf0ee774b04f610c63d3c3
https://www.conad.it/ricerca-negozi/conad-city-via-sbartolo-in-tuto-35-50018-scandicci--000843,conad city via sbartolo in tuto 35 50018 scandicci  000843,"Via S. Bartolo in Tuto, 35, 50018 Scandicci FI, Italy",ChIJ9y71PpVQKhMRoHePphGL8AU,35,Via San Bartolo in Tuto,Scandicci,Scandicci,Città Metropolitana di Firenze,Toscana,Italy,IT,50018.0,43.7545452,11.1834391,67cf0ee774b04f610c63d3c8
https://www.conad.it/ricerca-negozi/conad-superstore-via-pistoiese-ang-via-del-pesciolino-snc-50145-firenze--006507,conad superstore via pistoiese ang via del pesciolino snc 50145 firenze  006507,"VIA PISTOIESE, Via del Pesciolino, SNC, 50145 Firenze FI, Italy",ChIJuTPOmBdXKhMRF3VKBTJSvVw,SNC,Via del Pesciolino,Firenze,Firenze,Città Metropolitana di Firenze,Toscana,Italy,IT,50145.0,43.79380099999999,11.186226,67cf0ee874b04f610c63d3cd
https://www.conad.it/ricerca-negozi/conad-city-via-provinciale-134-55042-forte-dei-marmi--006322,conad city via provinciale 134 55042 forte dei marmi  006322,"Via Provinciale, 134, 55042 Forte dei Marmi LU, Italy",ChIJZfrKGD0K1RIRase32NSgc5Q,134,Via Provinciale,Forte dei Marmi,Forte dei Marmi,Provincia di Lucca,Toscana,Italy,IT,55042.0,43.965569,10.1830284,67cf0f2074b04f610c63d559
https://www.conad.it/ricerca-negozi/conad-via-stradella-ang-v-intercomunale-479-54038-montignoso--008977,conad via stradella ang v intercomunale 479 54038 montignoso  008977,"VIA STRADELLA ANG, Via Intercomunale, 479, 54038 Montignoso MS, Italy",ChIJ2-WniXQJ1RIRgjllWpgxAfM,479,Via Intercomunale,Massa,Montignoso,Provincia di Massa e Carrara,Toscana,Italy,IT,54038.0,43.9892375,10.1505478,67cf0f2074b04f610c63d55e
https://www.conad.it/ricerca-negozi/conad-city-via-provinciale-60-55045-pietrasanta--006503,conad city via provinciale 60 55045 pietrasanta  006503,"Via Provinciale, 60, 55042 Forte dei Marmi LU, Italy",ChIJy_7PeBgK1RIRcl0J3D4ek50,60,Via Provinciale,Forte dei Marmi,Forte dei Marmi,Provincia di Lucca,Toscana,Italy,IT,55042.0,43.9637,10.1791729,67cf0f2174b04f610c63d563
https://www.conad.it/ricerca-negozi/conad-superstore-via-aurelia-sud-54-55045-pietrasanta--006535,conad superstore via aurelia sud 54 55045 pietrasanta  006535,"Via Aurelia Sud, 54, 55045 Pietrasanta LU, Italy",ChIJWTjLcZAK1RIRMo951zrHvs8,54,Via Aurelia Sud,Pietrasanta,Pietrasanta,Provincia di Lucca,Toscana,Italy,IT,55045.0,43.9505303,10.2282931,67cf0f2174b04f610c63d568
https://www.conad.it/ricerca-negozi/conad-city-via-g-lombardi-20-55047-seravezza--006251,conad city via g lombardi 20 55047 seravezza  006251,"Via G. Lombardi, 20, 55047 Seravezza LU, Italy",ChIJj8zeUhIL1RIRsSJSpGDpogM,20,Via G. Lombardi,Seravezza,Seravezza,Provincia di Lucca,Toscana,Italy,IT,55047.0,43.9942939,10.2291062,67cf0f2274b04f610c63d56d
https://www.conad.it/ricerca-negozi/conad-city-via-sarzanese-331-55040-camaiore--010578,conad city via sarzanese 331 55040 camaiore  010578,"V. Sarzanese, 331, 55040 Camaiore LU, Italy",ChIJObSw7v8L1RIRd-PHLVtw2Ag,331,Via Sarzanese,Camaiore,Pietrasanta,Provincia di Lucca,Toscana,Italy,IT,55040.0,43.939664,10.247905,67cf0f2274b04f610c63d572
https://www.conad.it/ricerca-negozi/conad-via-giosue-carducci-ang-via-rinchiostra-snc-54100-massa--005722,conad via giosue carducci ang via rinchiostra snc 54100 massa  005722,"Via Rinchiostra, 54100 Massa MS, Italy",ChIJLVerxSwJ1RIRrdOweoywUm8,,Via Rinchiostra,Massa,Massa,Provincia di Massa e Carrara,Toscana,Italy,IT,54100.0,44.0238869,10.1321775,67cf0f2374b04f610c63d577
https://www.conad.it/ricerca-negozi/conad-city-via-giacomo-giacosa-24-55040-camaiore--006319,conad city via giacomo giacosa 24 55040 camaiore  006319,"Via Giacomo Giacosa, 24, 55040 Camaiore LU, Italy",ChIJoW58sgKg1RIRXWp67w0QivQ,24,Via Giacomo Giacosa,Capezzano Pianore,Camaiore,Provincia di Lucca,Toscana,Italy,IT,55040.0,43.9284807,10.2592827,67cf0f2474b04f610c63d57c
https://www.conad.it/ricerca-negozi/conad-city-viale-democrazia-3-54100-massa--003700,conad city viale democrazia 3 54100 massa  003700,"Via Democrazia, 3, 54100 Massa MS, Italy",ChIJa5jsvMUO1RIR4PHOr-uhMCE,3,Via Democrazia,Massa,Massa,Provincia di Massa e Carrara,Toscana,Italy,IT,54100.0,44.034756,10.1403287,67cf0f2474b04f610c63d581
https://www.conad.it/ricerca-negozi/conad-via-simon-musico-8-54100-massa--000814,conad via simon musico 8 54100 massa  000814,"Via Simon Musico, 8, 54100 Massa MS, Italy",ChIJibJ46cMO1RIRZSn29Kk6K0s,8,Via Simon Musico,Massa,Massa,Provincia di Massa e Carrara,Toscana,Italy,IT,54100.0,44.03923470000001,10.140992,67cf0f2574b04f610c63d586
https://www.conad.it/ricerca-negozi/conad-city-via-formentini-51-54100-massa--003804,conad city via formentini 51 54100 massa  003804,"Via Ubaldo Formentini, 51, 54100 Massa MS, Italy",ChIJVRWDxyMP1RIR2rIHRgkOb1E,51,Via Ubaldo Formentini,Massa,Massa,Provincia di Massa e Carrara,Toscana,Italy,IT,54100.0,44.041652,10.1185552,67cf0f2574b04f610c63d58b
https://www.conad.it/ricerca-negozi/conad-city-via-antonio-fratti-670-55049-viareggio--000834,conad city via antonio fratti 670 55049 viareggio  000834,"Via Antonio Fratti, 670, 55049 Viareggio LU, Italy",ChIJ9VUKWPeh1RIRUjjgEdDSDoY,670,Via Antonio Fratti,Viareggio,Viareggio,Provincia di Lucca,Toscana,Italy,IT,55049.0,43.88008629999999,10.2429767,67cf0f2674b04f610c63d590
https://www.conad.it/ricerca-negozi/conad-city-viale-guglielmo-oberdan-31-a-55041-camaiore--006312,conad city viale guglielmo oberdan 31 a 55041 camaiore  006312,"Via Guglielmo Oberdan, 31/A, 55041 Camaiore LU, Italy",ChIJ4_gT33511RIRYBrk8yvZ5bQ,31/A,Via Guglielmo Oberdan,Camaiore,Camaiore,Provincia di Lucca,Toscana,Italy,IT,55041.0,43.9377846,10.3020835,67cf0f2774b04f610c63d595
