Store Link,Address,Formatted Address,Place ID,Street Number,Route,City (Locality),Administrative Area Level 3,Administrative Area Level 2,Administrative Area Level 1,Country,Country Code,Postal Code,Latitude,Longitude,Shop ID
https://www.conad.it/ricerca-negozi/conad-superstore-via-mazzini-snc-20056-trezzo-sulladda--009147,conad superstore via mazzini snc 20056 trezzo sulladda  009147,"Via Giuseppe Mazzini, SNC, 20056 Trezzo sull'Adda MI, Italy",ChIJazIjp7dMgUcRb-ofFUy2ylM,SNC,Via Giuseppe Mazzini,Trezzo sull'Adda,Trezzo sull'Adda,Città metropolitana di Milano,Lombardia,Italy,IT,20056.0,45.599812,9.519121,67cf0b5e74b04f610c63b65e
https://www.conad.it/ricerca-negozi/conad-via-bergamo-1-24040-canonica-dadda--008502,conad via bergamo 1 24040 canonica dadda  008502,"Via Bergamo, 1, 24040 Canonica d'Adda BG, Italy",ChIJd3iqZXxLgUcRGtg3ESPCwu4,1,Via Bergamo,Canonica d'Adda,Canonica d'Adda,Provincia di Bergamo,Lombardia,Italy,IT,24040.0,45.5772147,9.5404931,67cf0b5f74b04f610c63b663
https://www.conad.it/ricerca-negozi/conad-superstore-viale-italia-555-20099-sesto-san-giovanni--010266,conad superstore viale italia 555 20099 sesto san giovanni  010266,"Viale Italia, 555, 20099 Sesto San Giovanni MI, Italy",ChIJbS_G7aK5hkcRH7FVVUoyH8Q,555,Viale Italia,Sesto San Giovanni,Sesto San Giovanni,Città metropolitana di Milano,Lombardia,Italy,IT,20099.0,45.5502911,9.2564781,67cf0b5f74b04f610c63b668
https://www.conad.it/ricerca-negozi/conad-via-milano-72-20067-paullo--009789,conad via milano 72 20067 paullo  009789,"Via Milano, 72, 20067 Paullo MI, Italy",ChIJ-2qzOSbNhkcRX8W9aLrL_4M,72,Via Milano,Paullo,Paullo,Città metropolitana di Milano,Lombardia,Italy,IT,20067.0,45.4183089,9.3939381,67cf0b6074b04f610c63b66d
https://www.conad.it/ricerca-negozi/conad-via-padova-224-20132-milano--009826,conad via padova 224 20132 milano  009826,"Via Padova, 224, 20132 Milano MI, Italy",ChIJcXI2wqDHhkcRmBMpVXp2lAY,224,Via Padova,Milano,Milano,Città metropolitana di Milano,Lombardia,Italy,IT,20132.0,45.5038191,9.2405198,67cf0b6174b04f610c63b672
https://www.conad.it/ricerca-negozi/margherita-conad-via-alberici-27-24040-arzago-dadda--000703,margherita conad via alberici 27 24040 arzago dadda  000703,"Via A. Manzoni, 11, 24040 Arcene BG, Italy",ChIJ2a9sC7NOgUcRzUUpC8UJBW8,11,Via A. Manzoni,Arcene,Arcene,Provincia di Bergamo,Lombardia,Italy,IT,24040.0,45.57736,9.611984,67cf0b6174b04f610c63b677
https://www.conad.it/ricerca-negozi/conad-via-papa-giovanni-xxiii-snc-24042-capriate-san-gervasio--008048,conad via papa giovanni xxiii snc 24042 capriate san gervasio  008048,"Via Papa Giovanni XXIII, SNC, 24042 Capriate San Gervasio BG, Italy",ChIJiXGlnNhMgUcROov8mF4zkiM,SNC,Via Papa Giovanni XXIII,,Capriate San Gervasio,Provincia di Bergamo,Lombardia,Italy,IT,24042.0,45.619839,9.5314904,nan
https://www.conad.it/ricerca-negozi/conad-city-via-confalonieri-16-20099-sesto-san-giovanni--009502,conad city via confalonieri 16 20099 sesto san giovanni  009502,"Via Federico Confalonieri, 16, 20099 Sesto San Giovanni MI, Italy",ChIJiRgoMKS4hkcRviEEvTl9Gas,16,Via Federico Confalonieri,Sesto San Giovanni,Sesto San Giovanni,Città metropolitana di Milano,Lombardia,Italy,IT,20099.0,45.53671869999999,9.2223416,67cf0b6274b04f610c63b67d
https://www.conad.it/ricerca-negozi/conad-superstore-via-roma-50-20881-bernareggio--009365,conad superstore via roma 50 20881 bernareggio  009365,"Via Roma, 50, 20881 Bernareggio MB, Italy",ChIJSytXX-axhkcREvoA_3kWq2g,50,Via Roma,Bernareggio,Bernareggio,Provincia di Monza e della Brianza,Lombardia,Italy,IT,20881.0,45.6607168,9.4159846,67cf0b6274b04f610c63b682
https://www.conad.it/ricerca-negozi/conad-via-ruggero-leoncavallo-15-17-20131-milano--010070,conad via ruggero leoncavallo 15 17 20131 milano  010070,"Via Ruggero Leoncavallo, 15/17, 20131 Milano MI, Italy",EjZWaWEgUnVnZ2VybyBMZW9uY2F2YWxsbywgMTUvMTcsIDIwMTMxIE1pbGFubyBNSSwgSXRhbHkiHhocChYKFAoSCWEsoKrjxoZHEfuxLC77JpzpEgIxNw,15,Via Ruggero Leoncavallo,Milano,Milano,Città metropolitana di Milano,Lombardia,Italy,IT,20131.0,45.4907578,9.224394,67cf0b6374b04f610c63b687
https://www.conad.it/ricerca-negozi/conad-city-via-spinelli-58-62-82018-san-giorgio-del-sannio--009600,conad city via spinelli 58 62 82018 san giorgio del sannio  009600,"Viale Spinelli, 58-62, 82018 San Giorgio del Sannio BN, Italy",ChIJH93nRWQvOhMRHZ_zaOjL_kM,58-62,Viale Spinelli,San Giorgio del Sannio,San Giorgio del Sannio,Provincia di Benevento,Campania,Italy,IT,82018.0,41.06440300000001,14.852782,67cf0b6474b04f610c63b68c
https://www.conad.it/ricerca-negozi/conad-city-via-almerico-meomartini-3-82100-benevento--006193,conad city via almerico meomartini 3 82100 benevento  006193,"Via Almerico Meomartini, 3, 82100 Benevento BN, Italy",ChIJVZkI1n46OhMREI89_9KIxi0,3,Via Almerico Meomartini,Benevento,Benevento,Provincia di Benevento,Campania,Italy,IT,82100.0,41.121846,14.793316,67cf0b6474b04f610c63b691
https://www.conad.it/ricerca-negozi/conad-via-salvator-rosa-45-47-82100-benevento--006214,conad via salvator rosa 45 47 82100 benevento  006214,"Via Salvator Rosa, 45/47, 82100 Benevento BN, Italy",ChIJISobB3s6OhMRtA0SALOwxFQ,45,Via Salvator Rosa,Benevento,Benevento,Provincia di Benevento,Campania,Italy,IT,82100.0,41.1266051,14.7916088,67cf0b6574b04f610c63b696
https://www.conad.it/ricerca-negozi/conad-via-colonnette-snc-82100-benevento--006212,conad via colonnette snc 82100 benevento  006212,"Via Colonnette, SNC, 82100 Benevento BN, Italy",ChIJgyCGTnM6OhMR1VfL_Bqkq7A,SNC,Via Colonnette,Benevento,Benevento,Provincia di Benevento,Campania,Italy,IT,82100.0,41.1275124,14.7757987,67cf0b6674b04f610c63b69b
https://www.conad.it/ricerca-negozi/conad-city-via-san-gaetano-30-32-82100-benevento--006191,conad city via san gaetano 30 32 82100 benevento  006191,"Via S. Gaetano, 30-32, 82100 Benevento BN, Italy",ChIJWXnpnhI6OhMRI5KFc0E029g,30-32,Via San Gaetano,Benevento,Benevento,Provincia di Benevento,Campania,Italy,IT,82100.0,41.131978,14.773723,67cf0b6674b04f610c63b6a0
https://www.conad.it/ricerca-negozi/conad-superstore-contrada-san-chirico-snc-82100-benevento--006215,conad superstore contrada san chirico snc 82100 benevento  006215,"Contrada S. Chirico, SNC, 82100 Benevento BN, Italy",ChIJwYGQJUk6OhMRu1IfIJ6VLa8,SNC,Contrada San Chirico,San Chirico,Benevento,Provincia di Benevento,Campania,Italy,IT,82100.0,41.153462,14.7804781,67cf0b6774b04f610c63b6a5
https://www.conad.it/ricerca-negozi/conad-city-via-vittorio-veneto-15-17-82100-benevento--006213,conad city via vittorio veneto 15 17 82100 benevento  006213,"Via Vittorio Veneto, 15-17, 82100 Benevento BN, Italy",ChIJgw7OaRQ6OhMRP01tmcu-p4w,15-17,Via Vittorio Veneto,Benevento,Benevento,Provincia di Benevento,Campania,Italy,IT,82100.0,41.1381538,14.771577,67cf0b6774b04f610c63b6aa
